Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,Unicode name,Unicode block
🙋,0x1f64b,236,0.732500422,30,60,146,HAPPY PERSON RAISING ONE HAND,Emoticons
😛,0x1f61b,220,0.734419263,18,50,152,FACE WITH STUCK-OUT TONGUE,Emoticons
😬,0x1f62c,214,0.793679841,57,58,99,GRIMACING FACE,Emoticons
😙,0x1f619,191,0.875675106,3,34,154,KISSING FACE WITH SMILING EYES,Emoticons
🙆,0x1f646,171,0.839916616,15,54,102,FACE WITH OK GESTURE,Emoticons
🙅,0x1f645,165,0.838871886,76,47,42,FACE WITH NO GOOD GESTURE,Emoticons
🙉,0x1f649,150,0.757694988,26,47,77,HEAR-NO-EVIL MONKEY,Emoticons
😇,0x1f607,135,0.781831331,9,36,90,SMILING FACE WITH HALO,Emoticons
😿,0x1f63f,134,0.811560707,78,29,27,CRYING CAT FACE,Emoticons
😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE,Emoticons
😶,0x1f636,117,0.868667638,50,34,33,FACE WITHOUT MOUTH,Emoticons
😵,0x1f635,103,0.808813841,33,28,42,DIZZY FACE,Emoticons
😸,0x1f638,97,0.782035657,11,34,52,GRINNING CAT FACE WITH SMILING EYES,Emoticons
😧,0x1f627,92,0.774990088,36,26,30,ANGUISHED FACE,Emoticons
😮,0x1f62e,90,0.774237435,16,33,41,FACE WITH OPEN MOUTH,Emoticons
😽,0x1f63d,88,0.754242708,11,14,63,KISSING CAT FACE WITH CLOSED EYES,Emoticons
🙀,0x1f640,88,0.790729154,14,30,44,WEARY CAT FACE,Emoticons
🙇,0x1f647,83,0.794293941,24,23,36,PERSON BOWING DEEPLY,Emoticons
😟,0x1f61f,80,0.824309355,28,18,34,WORRIED FACE,Emoticons
😯,0x1f62f,62,0.859007902,16,22,24,HUSHED FACE,Emoticons
😦,0x1f626,54,0.882218595,30,15,9,FROWNING FACE WITH OPEN MOUTH,Emoticons
🙍,0x1f64d,49,0.844922892,29,8,12,PERSON FROWNING,Emoticons
😺,0x1f63a,40,0.825897808,8,7,25,SMILING CAT FACE WITH OPEN MOUTH,Emoticons
😾,0x1f63e,33,0.914644696,20,5,8,POUTING CAT FACE,Emoticons
😼,0x1f63c,28,0.855991066,5,7,16,CAT FACE WITH WRY SMILE,Emoticons
🙎,0x1f64e,17,0.640742988,8,2,7,PERSON WITH POUTING FACE,Emoticons
😗,0x1f617,15,0.714328477,1,2,12,KISSING FACE,Emoticons
